date,bomb,assassination,attacks,deaths,fata,govt,business,private,attacksafg,nonfata,assault,kidnapping,crit1in7,crit2in7,crit3in7,attacksisrael,attrel,attnonrel,attsep,attacksiraq,w_total,a_reltargeted,severe,leadarrest,dumarrest
16802,0,0,0,0,0,0,0,0,0,0,0,0,0.2857143,0.2857143,0.2857143,0,0,0,0,0,3,0,,1,1
16803,0,0,0,0,0,0,0,0,1,0,0,0,0.2857143,0.2857143,0.2857143,0,0,0,0,2,3,0,,1,1
16804,1,0,1,0,0,1,0,0,1,1,0,0,0.1428571,0.1428571,0.1428571,0,0,0,0,0,2,0,0,1,1
16805,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0.1428571,0.1428571,0,0,0,0,2,2,0,,1,1
16806,0,0,0,0,0,0,0,0,1,0,0,0,0.1428571,0.1428571,0.1428571,0,0,0,0,2,2,0,,1,1
16807,0,0,1,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0
16808,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,3,1
16809,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
16810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0
16811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1
16812,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0.1428571,0.1428571,0,0,0,0,0,1,0,,0,0
16813,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0.1428571,0.1428571,1,0,0,0,0,1,0,,1,1
16814,0,0,0,0,0,0,0,0,0,0,0,0,0.4285714,0.4285714,0.4285714,0,0,0,0,0,1,0,,1,1
16815,0,0,0,0,0,0,0,0,2,0,0,0,0.4285714,0.4285714,0.4285714,0,0,0,0,0,1,0,,1,1
16816,0,0,0,0,0,0,0,0,1,0,0,0,0.4285714,0.4285714,0.4285714,0,0,0,0,0,1,0,,2,1
16817,0,0,0,0,0,0,0,0,1,0,0,0,0.4285714,0.4285714,0.4285714,0,0,0,0,1,1,0,,1,1
16818,0,0,0,0,0,0,0,0,0,0,0,0,0.4285714,0.4285714,0.4285714,0,0,0,0,2,1,0,,0,0
16819,1,0,1,0,0,1,0,0,0,1,0,0,0.4285714,0.4285714,0.4285714,0,0,0,0,3,3,0,0,1,1
16820,0,0,0,0,0,0,0,0,0,0,0,0,0.5714286,0.5714286,0.5714286,1,0,0,0,4,3,0,,1,1
16821,2,0,2,0,0,2,0,0,1,2,0,0,0.5714286,0.5714286,0.5714286,0,0,0,0,2,5,0,0,1,1
16822,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857,0.7142857,0.7142857,0,0,0,0,1,6,0,,0,0
16823,0,0,0,0,0,0,0,0,1,0,0,0,0.7142857,0.7142857,0.7142857,0,0,0,0,3,6,0,,0,0
16824,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857,0.7142857,0.7142857,0,0,0,0,8,6,0,,1,1
16825,0,0,0,0,0,0,0,0,2,0,0,0,0.7142857,0.7142857,0.7142857,0,0,0,0,2,6,0,,1,1
16826,1,0,1,6,0,1,0,0,0,1,0,0,0.5714286,0.5714286,0.5714286,0,0,0,0,2,4,0,6,1,1
16827,1,0,1,0,0,1,0,0,1,1,0,0,0.4285714,0.4285714,0.4285714,0,0,0,0,4,3,0,0,0,0
16828,0,1,2,0,0,2,0,0,2,2,1,0,0.2857143,0.2857143,0.2857143,0,0,0,0,5,2,0,0,0,0
16829,0,0,1,0,0,1,0,0,0,1,1,0,0.5714286,0.5714286,0.4285714,0,0,0,0,3,5,0,0,0,0
