date,drones,drone_naf,target1,target3,unknown,unknown2,mil_act,ramadan
16802,0,0,0,0,0,0,0,0
16803,0,0,0,0,0,0,0,0
16804,0,0,0,0,0,0,0,0
16805,0,0,0,0,0,0,0,0
16806,0,0,0,0,0,0,0,0
16807,0,1,1,0,0,1,0,0
16808,0,0,0,0,0,0,3,0
16809,0,0,0,0,0,0,0,0
16810,0,0,0,0,0,0,1,0
16811,0,0,0,0,0,0,0,0
16812,0,0,0,0,0,0,0,0
16813,0,0,0,0,0,0,0,0
16814,1,0,0,0,0,0,1,0
16815,0,0,0,0,0,0,0,0
16816,0,0,0,0,0,0,1,0
16817,0,0,0,0,0,0,0,0
16818,0,0,0,0,0,0,0,0
16819,0,0,0,0,0,0,1,0
16820,0,0,0,0,0,0,1,0
16821,0,0,0,0,0,0,0,0
16822,0,0,0,0,0,0,0,0
16823,0,0,0,0,0,0,0,0
16824,0,0,0,0,0,0,0,0
16825,0,0,0,0,0,0,0,0
16826,0,0,0,0,0,0,0,0
16827,0,0,0,0,0,0,0,0
16828,0,0,0,0,0,0,0,0
16829,0,0,0,0,0,0,0,0
16830,0,0,0,0,0,0,0,0
16831,0,0,0,0,0,0,0,0
16832,0,0,0,0,0,0,0,0
16833,0,0,0,0,0,0,0,0
16834,0,0,0,0,0,0,0,0
16835,0,0,0,0,0,0,0,0
16836,0,0,0,0,0,0,0,0
16837,0,0,0,0,0,0,0,0
16838,0,0,0,0,0,0,0,0
16839,0,0,0,0,0,0,0,0
16840,0,0,0,0,0,0,0,0
16841,0,0,0,0,0,0,0,0
16842,0,0,0,0,0,0,0,0
16843,0,0,0,0,0,0,0,0
16844,0,0,0,0,0,0,0,0
16845,0,0,0,0,0,0,0,0
16846,0,0,0,0,0,0,0,0
16847,0,0,0,0,0,0,0,0
16848,0,0,0,0,0,0,0,0
16849,0,0,0,0,0,0,0,0
16850,0,0,0,0,0,0,0,0
16851,0,0,0,0,0,0,0,0
16852,0,0,0,0,0,0,0,0
16853,0,0,0,0,0,0,0,0
16854,0,0,0,0,0,0,0,0
16855,0,0,0,0,0,0,0,0
16856,0,0,0,0,0,0,0,0
16857,0,0,0,0,0,0,0,0
16858,0,0,0,0,0,0,0,0
16859,0,0,0,0,0,0,0,0
16860,0,0,0,0,0,0,0,0
16861,0,0,0,0,0,0,1,0
16862,0,0,0,0,0,0,0,0
16863,0,0,0,0,0,0,0,0
16864,0,0,0,0,0,0,0,0
16865,0,0,0,0,0,0,1,0
16866,0,0,0,0,0,0,1,0
16867,0,0,0,0,0,0,1,0
16868,0,0,0,0,0,0,2,0
16869,0,0,0,0,0,0,0,0
16870,0,0,0,0,0,0,0,0
16871,0,0,0,0,0,0,2,0
16872,0,0,0,0,0,0,0,0
16873,0,0,0,0,0,0,0,0
16874,0,0,0,0,0,0,0,0
16875,0,0,0,0,0,0,0,0
16876,0,0,0,0,0,0,0,0
16877,0,0,0,0,0,0,0,0
16878,0,0,0,0,0,0,1,0
16879,0,0,0,0,0,0,0,0
16880,0,0,0,0,0,0,0,0
16881,0,0,0,0,0,0,0,0
16882,0,0,0,0,0,0,0,0
16883,0,0,0,0,0,0,0,0
16884,0,0,0,0,0,0,1,0
16885,0,0,0,0,0,0,0,0
16886,0,0,0,0,0,0,0,0
16887,0,0,0,0,0,0,0,0
16888,0,0,0,0,0,0,2,0
16889,0,0,0,0,0,0,0,0
16890,0,0,0,0,0,0,1,0
16891,0,0,0,0,0,0,0,0
16892,0,0,0,0,0,0,0,0
16893,0,0,0,0,0,0,0,0
16894,0,0,0,0,0,0,0,0
16895,0,0,0,0,0,0,0,0
16896,0,0,0,0,0,0,1,0
16897,0,0,0,0,0,0,1,0
16898,0,0,0,0,0,0,0,0
16899,0,0,0,0,0,0,0,0
16900,0,0,0,0,0,0,0,0
16901,0,0,0,0,0,0,0,0
16902,0,0,0,0,0,0,0,0
16903,0,0,0,0,0,0,1,0
16904,0,0,0,0,0,0,1,0
16905,0,0,0,0,0,0,0,0
16906,0,0,0,0,0,0,1,0
16907,0,0,0,0,0,0,0,0
16908,0,0,0,0,0,0,1,0
16909,0,0,0,0,0,0,0,0
16910,0,0,0,0,0,0,0,0
16911,0,0,0,0,0,0,1,0
16912,0,0,0,0,0,0,1,0
16913,0,0,0,0,0,0,0,0
16914,0,0,0,0,0,0,0,0
16915,0,0,0,0,0,0,0,0
16916,0,0,0,0,0,0,0,0
16917,0,0,0,0,0,0,0,0
16918,0,0,0,0,0,0,0,0
16919,0,0,0,0,0,0,0,0
16920,0,0,0,0,0,0,0,0
16921,0,0,0,0,0,0,1,0
16922,0,0,0,0,0,0,0,0
16923,0,0,0,0,0,0,0,0
16924,0,0,0,0,0,0,0,0
16925,0,0,0,0,0,0,1,0
16926,0,0,0,0,0,0,0,0
16927,0,0,0,0,0,0,0,0
16928,0,0,0,0,0,0,0,0
16929,0,0,0,0,0,0,0,0
16930,0,0,0,0,0,0,0,0
16931,0,0,0,0,0,0,1,0
16932,0,0,0,0,0,0,0,0
16933,0,0,0,0,0,0,0,0
16934,0,0,0,0,0,0,0,0
16935,0,0,0,0,0,0,0,0
16936,0,0,0,0,0,0,0,0
16937,0,0,0,0,0,0,1,0
16938,0,0,0,0,0,0,0,0
16939,0,0,0,0,0,0,0,0
16940,0,0,0,0,0,0,0,0
16941,0,0,0,0,0,0,0,0
16942,0,0,0,0,0,0,0,0
16943,0,0,0,0,0,0,0,0
16944,0,0,0,0,0,0,0,0
16945,0,0,0,0,0,0,0,0
16946,0,0,0,0,0,0,0,0
16947,0,0,0,0,0,0,0,0
16948,0,0,0,0,0,0,0,0
16949,0,0,0,0,0,0,0,0
16950,0,0,0,0,0,0,0,0
16951,0,0,0,0,0,0,0,0
16952,0,0,0,0,0,0,0,0
16953,0,0,0,0,0,0,0,0
16954,0,0,0,0,0,0,0,0
16955,0,0,0,0,0,0,0,0
16956,0,0,0,0,0,0,0,0
16957,0,0,0,0,0,0,1,0
16958,0,0,0,0,0,0,0,0
16959,0,0,0,0,0,0,0,0
16960,0,0,0,0,0,0,1,0
16961,0,0,0,0,0,0,0,0
16962,0,0,0,0,0,0,0,0
16963,0,0,0,0,0,0,1,0
16964,0,0,0,0,0,0,0,0
16965,0,0,0,0,0,0,1,0
16966,0,0,0,0,0,0,0,0
16967,0,0,0,0,0,0,0,0
16968,0,0,0,0,0,0,0,0
16969,0,0,0,0,0,0,1,0
16970,0,0,0,0,0,0,0,0
16971,0,0,0,0,0,0,1,0
16972,0,0,0,0,0,0,0,0
16973,0,0,0,0,0,0,0,0
16974,0,0,0,0,0,0,0,0
16975,0,0,0,0,0,0,0,0
16976,0,0,0,0,0,0,0,0
16977,0,0,0,0,0,0,0,0
16978,0,0,0,0,0,0,0,0
16979,0,0,0,0,0,0,0,0
16980,0,0,0,0,0,0,0,0
16981,0,0,0,0,0,0,0,0
16982,0,0,0,0,0,0,0,0
16983,0,0,0,0,0,0,0,0
16984,0,0,0,0,0,0,0,0
16985,0,0,0,0,0,0,0,0
16986,0,0,0,0,0,0,0,0
16987,0,0,0,0,0,0,0,0
16988,0,0,0,0,0,0,0,0
16989,0,0,0,0,0,0,0,0
16990,0,0,0,0,0,0,0,0
16991,0,0,0,0,0,0,0,0
