date,tmean2_mir,prec_mir,wind,gusts,lnprec,tmean2iraq,gustsiraq,tmean2israel,gustsisrael,gusts_karachi,precisrael,preciraq,above
16802,5.97,13,6.44,11.16,2.639057,14.62,13.68,15.37,13.32,23.76,0,0,0
16803,7.73,0.8,5.26,13.32,0.5877867,14.87,18,13.61,13.68,19.08,0,0,0
16804,5.61,0,6.78,27.36,0,15.63,20.52,10.5,33.12,20.16,0,0,0
16805,3.61,0,14.66,21.96,0,14.63,19.08,13.18,38.16,33.48,0,0,0
16806,2.53,0,22.45,22.32,0,16.42,21.96,16.02,34.56,29.16,0,0,0
16807,3.16,0,21.74,21.6,0,16.79,32.76,14.77,23.4,32.76,0,0,0
16808,6.73,0,14.46,18,0,16.01,44.28,11.28,28.44,48.24,0.1,0.3,0
16809,9.51,0,11.03,16.2,0,16.5,30.96,10.09,25.2,48.6,0.1,0.1,0
16810,11.71,0,7.68,38.16,0,16.13,21.96,10.23,17.28,32.76,0,0.6,1
16811,12.26,0,8.7,32.4,0,16.25,29.52,9.82,27.72,15.12,0.3,0,1
16812,10.81,0,11.86,14.76,0,16.74,39.24,9.29,28.8,25.2,1.8,12.6,0
16813,12.38,0,10.84,27.36,0,14.63,25.92,9.61,21.6,15.84,0,1.8,0
16814,12.15,0,11,25.92,0,15.09,20.88,8.82,14.4,20.16,9.7,0,0
16815,10.32,4.7,8.63,45,1.740466,14.13,22.68,8.09,17.28,25.56,0.3,0,1
16816,7.06,21.3,7.3,12.6,3.104587,12.92,24.84,8.29,18.72,25.92,1.7,0,0
16817,9.69,6.9,12.39,11.16,2.066863,11.37,16.92,8.26,11.88,27.36,0,0,0
16818,10.22,0,9.03,32.76,0,10.61,22.32,7.95,23.76,48.6,0,0,1
16819,7.88,0.3,11.15,33.48,0.2623643,11.83,23.4,8.85,22.32,36.72,0,0,1
16820,8.63,0,9.77,23.4,0,13.54,21.96,9.36,10.44,36.72,0,0,0
16821,8.33,0,14.1,29.52,0,12.5,48.96,9.15,38.16,26.64,1.3,0,1
16822,6.75,0,19.98,28.44,0,12.97,50.04,9.45,29.16,11.88,0,0,1
16823,9.62,0,8.83,20.52,0,8.89,30.6,11.46,11.52,26.28,0,0,0
16824,8.39,0,12.38,14.04,0,12.83,36.72,14.21,43.2,21.6,0.5,0.1,0
16825,8.02,0,17.55,20.16,0,18.54,50.04,12.85,21.96,32.04,0,0,0
16826,9.69,0,11.06,17.28,0,17.02,55.08,12.7,44.28,14.04,0,3.7,0
16827,12.14,0,12.87,28.08,0,17.37,47.52,9.17,33.12,17.28,0,4.6,1
16828,11.86,0,10.17,34.92,0,14.98,28.44,8.91,24.12,14.04,0,0,1
16829,12.24,0.1,10.2,59.04,0.0953102,13.63,21.96,7.93,19.8,20.88,0.4,0,1
16830,10.9,0,7.62,43.92,0,12.98,24.12,7.71,14.04,18,0,0,1
16831,13.54,0,9.52,35.28,0,12.67,18.36,7.29,13.32,16.2,0,0,1
16832,13.62,0,9.93,34.56,0,11.53,23.04,8.66,11.88,18,0,0,1
16833,13.43,0,8.36,26.64,0,12.8,32.76,12.39,33.84,19.44,0,0,0
16834,13.57,0,13.92,25.56,0,17.19,50.76,12.38,34.92,24.48,2.6,0.9,0
16835,11.87,0,22.92,23.4,0,17.59,59.76,10.73,35.64,30.24,6.5,30.7,0
16836,15.4,0,13.68,16.56,0,17.18,27,11.31,19.08,21.24,0,3.3,0
16837,18.1,0,11.24,15.84,0,15.36,21.96,11.14,18,27.72,0,0,0
16838,17.15,0,9.76,21.6,0,15.93,23.76,11.23,22.68,26.64,0,0,0
16839,16.03,0,10.89,15.84,0,20.71,42.12,12.6,29.88,24.12,0,0,0
16840,15.72,0,10.64,14.76,0,20.3,80.64,10.15,51.48,18,1.7,5.4,0
16841,15.87,0,12.49,19.44,0,17.93,53.28,8.56,42.84,26.28,0,2.3,0
16842,16.79,0,12.68,29.88,0,15.06,26.28,10.11,15.84,24.84,0,0,1
16843,18.31,0,12.27,32.4,0,14.83,27.72,10.8,15.48,27,0,0,1
16844,18.57,0,13.73,42.84,0,16.36,15.12,11.91,16.92,23.76,0,0,1
