date,tmean2_mir,prec_mir,wind,gusts,lnprec,tmean2iraq,gustsiraq,tmean2israel,gustsisrael,gusts_karachi,precisrael,preciraq,above,avgterrornegemo,avgterrornousnegemo,avgterrornodronenegemo,avgusnegemo,avgdronenegemo,avgusnodronenegemo,avgusnoterrornegemo,avgterrorposemo,avgterrornousposemo,avgterrornodroneposemo,avgusposemo,avgdroneposemo,avgusnodroneposemo,avgusnoterrorposemo,avgterroranger,avgterrornousanger,avgterrornodroneanger,avgusanger,avgdroneanger,avgusnoterroranger,topterrornegemo,topterrornousnegemo,topterrornodronenegemo,topusnegemo,topusnodronenegemo,topusnoterrornegemo,topterrorposemo,topterrornousposemo,topterrornodroneposemo,topusposemo,topusnodroneposemo,topusnoterrorposemo,topterroranger,topterrornousanger,topterrornodroneanger,topusanger,topusnodroneanger,topusnoterroranger,senavgterrornegemo,senavgterrornousnegemo,senavgterrornodronenegemo,senavgterrorposemo,senavgterrornousposemo,senavgterrornodroneposemo,senavgterroranger,senavgterrornousanger,senavgterrornodroneanger,senavgusnegemo,senavgusnodronenegemo,senavgusnoterrornegemo,senavgusposemo,senavgusnodroneposemo,senavgusnoterrorposemo,senavgusanger,senavgusnodroneanger,senavgusnoterroranger,numdrone,numus,numterror,avgusnodroneanger,bomb,assassination,attacks,deaths,fata,govt,business,private,attacksafg,nonfata,assault,kidnapping,crit1in7,crit2in7,crit3in7,attacksisrael,attrel,attnonrel,attsep,attacksiraq,w_total,a_reltargeted,severe,leadarrest,dumarrest,prot_ter,prot_terdum,prot_us,prot_usdum,jihad,tvideo,zarb,v9,ghazwa,usefp,usaid,usimmi,drones,drone_naf,target1,target3,unknown,unknown2,mil_act,ramadan
16802,5.9699998,13,6.4400001,11.16,2.6390569,14.62,13.68,15.37,13.32,23.76,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,.2857143,.2857143,.2857143,0,0,0,0,0,3,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803,7.73,.80000001,5.2600002,13.32,.58778667,14.87,18,13.61,13.68,19.08,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,.2857143,.2857143,.2857143,0,0,0,0,2,3,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16804,5.6100001,0,6.7800002,27.360001,0,15.63,20.52,10.5,33.119999,20.16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,0,.1428571,.1428571,.1428571,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16805,3.6099999,0,14.66,21.959999,0,14.63,19.08,13.18,38.16,33.48,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,.1428571,.1428571,.1428571,0,0,0,0,2,2,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806,2.53,0,22.450001,22.32,0,16.42,21.959999,16.02,34.560001,29.16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,.1428571,.1428571,.1428571,0,0,0,0,2,2,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16807,3.1600001,0,21.74,21.6,0,16.790001,32.759998,14.77,23.4,32.759998,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
16808,6.73,0,14.46,18,0,16.01,44.279999,11.28,28.440001,48.240002,.1,.30000001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
16809,9.5100002,0,11.03,16.200001,0,16.5,30.959999,10.09,25.200001,48.599998,.1,.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16810,11.71,0,7.6799998,38.16,0,16.129999,21.959999,10.23,17.280001,32.759998,0,.60000002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16811,12.26,0,8.6999998,32.400002,0,16.25,29.52,9.8199997,27.719999,15.12,.30000001,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16812,10.81,0,11.86,14.76,0,16.74,39.240002,9.29,28.799999,25.200001,1.8,12.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,.1428571,.1428571,.1428571,0,0,0,0,0,1,0,,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16813,12.38,0,10.84,27.360001,0,14.63,25.92,9.6099997,21.6,15.84,0,1.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,.1428571,.1428571,.1428571,1,0,0,0,0,1,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16814,12.15,0,11,25.92,0,15.09,20.879999,8.8199997,14.4,20.16,9.6999998,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,.4285714,.4285714,.4285714,0,0,0,0,0,1,0,,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16815,10.32,4.6999998,8.6300001,45,1.740466,14.13,22.68,8.0900002,17.280001,25.559999,.30000001,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,0,0,.4285714,.4285714,.4285714,0,0,0,0,0,1,0,,1,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16816,7.0599999,21.299999,7.3000002,12.6,3.1045871,12.92,24.84,8.29,18.719999,25.92,1.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,.4285714,.4285714,.4285714,0,0,0,0,0,1,0,,2,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16817,9.6899996,6.9000001,12.39,11.16,2.0668631,11.37,16.92,8.2600002,11.88,27.360001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,.4285714,.4285714,.4285714,0,0,0,0,1,1,0,,1,1,0,0,16,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16818,10.22,0,9.0299997,32.759998,0,10.61,22.32,7.9499998,23.76,48.599998,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,.4285714,.4285714,.4285714,0,0,0,0,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16819,7.8800001,.30000001,11.15,33.48,.2623643,11.83,23.4,8.8500004,22.32,36.720001,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,1,0,0,.4285714,.4285714,.4285714,0,0,0,0,3,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16820,8.6300001,0,9.7700005,23.4,0,13.54,21.959999,9.3599997,10.44,36.720001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,.5714286,.5714286,.5714286,1,0,0,0,4,3,0,,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16821,8.3299999,0,14.1,29.52,0,12.5,48.959999,9.1499996,38.16,26.639999,1.3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,2,0,0,1,2,0,0,.5714286,.5714286,.5714286,0,0,0,0,2,5,0,0,1,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16822,6.75,0,19.98,28.440001,0,12.97,50.040001,9.4499998,29.16,11.88,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,.71428567,.71428567,.71428567,0,0,0,0,1,6,0,,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16823,9.6199999,0,8.8299999,20.52,0,8.8900003,30.6,11.46,11.52,26.280001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,.71428567,.71428567,.71428567,0,0,0,0,3,6,0,,0,0,0,0,6,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16824,8.3900003,0,12.38,14.04,0,12.83,36.720001,14.21,43.200001,21.6,.5,.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,.71428567,.71428567,.71428567,0,0,0,0,8,6,0,,1,1,0,0,2,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16825,8.0200005,0,17.549999,20.16,0,18.540001,50.040001,12.85,21.959999,32.040001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,0,0,.71428567,.71428567,.71428567,0,0,0,0,2,6,0,,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16826,9.6899996,0,11.06,17.280001,0,17.02,55.080002,12.7,44.279999,14.04,0,3.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,6,0,1,0,0,0,1,0,0,.5714286,.5714286,.5714286,0,0,0,0,2,4,0,6,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16827,12.14,0,12.87,28.08,0,17.370001,47.52,9.1700001,33.119999,17.280001,0,4.5999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,0,.4285714,.4285714,.4285714,0,0,0,0,4,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16828,11.86,0,10.17,34.919998,0,14.98,28.440001,8.9099998,24.120001,14.04,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,0,2,0,0,2,2,1,0,.2857143,.2857143,.2857143,0,0,0,0,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829,12.24,.1,10.2,59.040001,.095310196,13.63,21.959999,7.9299998,19.799999,20.879999,.40000001,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,1,1,0,.5714286,.5714286,.4285714,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16830,10.9,0,7.6199999,43.919998,0,12.98,24.120001,7.71,14.04,18,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,.85714293,.85714293,.71428567,0,0,0,0,4,6,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16831,13.54,0,9.5200005,35.279999,0,12.67,18.360001,7.29,13.32,16.200001,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,.85714293,.85714293,.71428567,0,0,0,0,1,6,0,,1,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16832,13.62,0,9.9300003,34.560001,0,11.53,23.040001,8.6599998,11.88,18,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.285714,1.285714,1.142857,1,0,0,0,1,8,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16833,13.43,0,8.3599997,26.639999,0,12.8,32.759998,12.39,33.84,19.440001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1.428571,1.428571,1.285714,0,0,0,0,6,9,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16834,13.57,0,13.92,25.559999,0,17.190001,50.759998,12.38,34.919998,24.48,2.5999999,.89999998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.571429,1.571429,1.428571,2,0,0,0,7,10,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16835,11.87,0,22.92,23.4,0,17.59,59.759998,10.73,35.639999,30.24,6.5,30.700001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,2,1,0,0,1.428571,1.428571,1.285714,2,0,1,1,1,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16836,15.4,0,13.68,16.559999,0,17.18,27,11.31,19.08,21.24,0,3.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,9,1,2,0,1,2,2,0,0,1,1,1,0,0,2,2,4,7,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
